bp,bm,cp,cm
223,223,585,585
223,223,596,596
223,223,607,607
223,223,618,618
223,223,629,629
223,223,640,640
223,223,651,651
223,223,662,662
223,223,673,673
223,223,684,684
223,223,695,695
223,223,706,706
223,223,717,716
223,223,728,728
223,223,739,739
222,223,750,750
223,223,761,761
223,223,772,771
223,223,782,782
223,223,793,794
223,223,805,805
223,223,816,815
223,223,827,827
223,223,837,838
223,223,848,848
223,223,859,859
223,223,869,869
223,223,881,880
223,223,891,891
222,223,902,901
223,223,911,912
223,223,922,922
223,223,933,933
223,223,944,944
223,223,955,955
223,223,966,966
223,223,977,977
223,223,988,988
223,223,999,999
223,223,1009,1009
223,223,1019,1019
223,223,1030,1030
223,223,1041,1042
223,223,1053,1052
223,223,1063,1064
223,223,1074,1074
223,223,1085,1085
223,223,1096,1096
223,223,1107,1107
223,223,1117,1117
223,223,1128,1128
223,223,1138,1138
223,223,1149,1149
223,223,1161,1161
223,223,1172,1172
222,223,1183,1183
223,223,1193,1193
223,223,1205,1205
223,223,1214,1215
223,223,1225,1225
223,223,1236,1236
223,223,1247,1247
223,223,1258,1258
223,223,1268,1268
223,223,1279,1279
223,223,1291,1290
223,222,1301,1301
223,223,1312,1312
223,223,1323,1323
223,223,1335,1335
223,223,1345,1345
223,223,1356,1356
223,223,1367,1367
223,223,1377,1378
223,223,1388,1388
223,223,1400,1400
223,223,1410,1411
223,223,1421,1421
223,223,1431,1431
223,223,1442,1442
223,223,1453,1453
223,223,1463,1463
223,223,1473,1474
223,223,1485,1484
223,223,1495,1495
223,223,1505,1506
223,223,1517,1516
223,223,1528,1528
223,223,1538,1539
223,223,1549,1549
223,223,1560,1560
223,223,1572,1571
223,223,1582,1583
223,223,1593,1593
223,223,1604,1604
223,223,1615,1615
223,223,1627,1627
223,223,1637,1637
223,223,1648,1648
223,223,1658,1658
223,223,1669,1668
223,223,1680,1680
223,223,1691,1691
223,223,1701,1701
223,223,1713,1712
223,223,1722,1722
223,223,1732,1732
223,223,1743,1743
223,223,1754,1754
223,223,1764,1764
223,223,1774,1775
223,222,1785,1785
223,223,1796,1796
223,223,1806,1805
223,223,1816,1816
223,223,1826,1825
223,223,1836,1836
223,223,1847,1846
223,223,1857,1857
223,223,1869,1868
223,223,1879,1879
223,223,1890,1890
223,223,1901,1901
223,223,1911,1911
223,223,1921,1921
223,223,1932,1932
223,223,1943,1943
222,223,1954,1954
223,223,1965,1965
223,223,1975,1975
223,223,1985,1986
223,223,1996,1996
223,223,2006,2006
223,223,2016,2016
223,223,2027,2027
223,223,2037,2037
223,223,2047,2047
222,223,2059,2058
223,223,2069,2068
223,223,2079,2079
223,223,2089,2089
223,223,2099,2100
223,223,2110,2110
223,223,2120,2121
223,223,2131,2131
223,223,2141,2141
223,223,2151,2152
223,223,2161,2161
223,223,2172,2172
222,223,2183,2183
223,223,2193,2193
223,223,2203,2203
223,223,2213,2213
223,223,2224,2224
223,223,2234,2234
223,223,2245,2245
223,223,2255,2255
223,223,2266,2265
223,223,2276,2276
223,223,2287,2286
223,223,2298,2297
223,223,2309,2309
223,223,2319,2320
223,223,2330,2330
223,223,2341,2341
223,223,2351,2352
223,223,2362,2362
223,223,2372,2372
223,223,2384,2384
223,223,2394,2394
223,223,2405,2404
222,223,2415,2415
223,223,2425,2425
223,223,2435,2435
223,223,2446,2445
223,223,2456,2456
223,223,2466,2466
223,223,2477,2477
223,223,2488,2488
223,223,2499,2499
223,223,2509,2508
223,223,2518,2518
223,223,2529,2529
223,223,2539,2539
223,223,2549,2549
222,223,2560,2560
223,223,2570,2571
223,223,2581,2581
223,223,2591,2591
223,223,2601,2601
223,222,2611,2612
223,223,2621,2621
223,223,2631,2631
223,223,2641,2641
223,223,2651,2651
223,223,2663,2663
223,223,2673,2673
223,223,2683,2683
223,223,2692,2692
223,223,2701,2702
223,223,2712,2713
223,223,2722,2723
223,223,2733,2732
447,371,0,0
447,377,10,9
447,382,21,20
447,387,33,31
447,392,44,41
446,396,55,52
447,400,67,62
447,403,78,73
446,407,89,83
447,410,101,94
447,413,112,105
447,416,123,114
447,419,134,124
447,422,146,136
447,424,158,146
447,427,170,157
447,429,181,168
447,431,193,179
447,432,204,189
447,433,216,200
447,435,227,211
446,435,238,221
447,435,249,232
447,436,260,243
447,436,271,255
447,436,283,266
447,436,294,277
447,436,305,288
447,436,316,299
447,436,327,311
447,436,339,322
447,437,350,334
447,437,361,344
447,436,372,355
446,436,383,367
447,436,394,378
447,436,405,389
447,436,416,400
447,437,428,411
446,437,439,422
447,437,450,433
447,437,461,445
447,436,473,456
446,436,484,467
446,436,495,479
446,436,506,490
447,437,517,500
446,436,527,511
447,437,538,521
446,437,549,532
446,437,560,543
447,437,571,554
447,436,582,565
447,437,593,576
447,437,604,587
446,437,615,598
447,436,626,609
447,436,637,620
447,436,648,631
447,437,659,642
447,436,671,654
447,436,682,665
447,436,692,675
446,437,703,686
447,436,714,697
447,436,725,709
447,437,736,720
446,437,747,731
447,436,758,741
447,436,768,752
447,436,779,762
447,437,791,774
447,437,802,785
447,437,812,796
447,436,824,807
447,436,835,818
446,436,845,828
447,436,856,839
447,436,866,849
447,437,878,861
447,436,888,872
447,436,898,882
447,436,908,892
447,437,919,902
447,437,931,914
447,437,941,925
447,436,951,935
447,437,963,946
447,436,974,958
446,436,985,968
447,436,996,979
447,436,1006,989
447,436,1016,1000
446,436,1028,1011
447,436,1039,1022
447,436,1050,1033
447,437,1060,1044
447,436,1072,1055
447,436,1083,1066
447,436,1093,1076
447,436,1103,1086
446,436,1114,1097
446,436,1125,1108
446,436,1136,1119
446,436,1146,1129
447,436,1157,1141
447,436,1169,1152
447,437,1180,1163
447,437,1190,1173
447,436,1201,1185
446,436,1212,1195
447,437,1223,1206
447,436,1233,1216
447,436,1244,1227
447,436,1255,1238
446,436,1265,1249
446,436,1277,1260
447,436,1288,1271
447,436,1298,1282
447,436,1309,1293
447,436,1320,1303
447,436,1332,1315
447,437,1342,1325
447,436,1353,1336
447,436,1364,1347
447,436,1375,1358
447,437,1384,1368
447,436,1397,1380
447,436,1408,1391
447,436,1419,1402
447,437,1428,1411
447,437,1439,1422
447,436,1450,1433
447,436,1460,1444
447,436,1470,1454
447,436,1482,1465
446,436,1492,1475
446,436,1502,1485
446,436,1514,1497
447,436,1525,1508
447,436,1535,1519
447,436,1546,1529
447,436,1557,1540
447,436,1568,1551
447,437,1579,1562
447,436,1589,1573
447,436,1601,1584
447,437,1612,1595
447,436,1624,1607
446,437,1634,1618
447,437,1644,1628
447,436,1655,1638
447,437,1665,1649
447,436,1677,1660
447,436,1688,1671
447,436,1698,1681
446,437,1709,1692
447,436,1719,1702
447,436,1729,1712
447,437,1740,1723
446,437,1750,1734
446,437,1761,1744
447,436,1771,1754
446,436,1782,1765
446,436,1793,1776
446,436,1803,1786
446,437,1813,1797
